Id,furniture,type,url,rate,delivery,sale,price
1,Bed side table with storage shelf,Home Decor Center,https://www.jumia.com.eg//ar/home-decor-center-bedside-table-side-table-with-drawer-white-403055-cm-304-27151996.html,3.3,172.14,72%,2500.0
2,Bed side table with storage shelf,Modern Home,https://www.jumia.com.eg//ar/modern-home-bedside-table-side-table-with-storage-white-554040-27151979.html,0.0,172.14,54%,1200.0
3,Modern Zigzag TV Table,Modern Home,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-beige-120cm-32489890.html,0.0,172.14,18%,1099.0
4,Bedside table with storage shelf,Modern Home,https://www.jumia.com.eg//ar/modern-home-bedside-table-side-table-with-storage-black-554040-cm-305-27152038.html,0.0,172.14,58%,1200.0
5,Wall Mounted TV Unit with Cabinet TV Stand Unit with Shelves for Living Room (Brown with White),Modern Home,https://www.jumia.com.eg//ar/modern-home-wall-mounted-tv-unit-cabinet-with-tv-stand-unit-wall-shelf-for-living-room-brownwhite-37664677.html,5.0,52.44,54%,1400.0
6,Modern Home Modern Tv Table - Black Oak,Modern Home Modern Tv Table   Black Oak,https://www.jumia.com.eg//ar/modern-tv-table-black-oak-generic-mpg142410.html,4.3,172.14,58%,2000.0
7,Modern desk with side shelves,Modern Home,https://www.jumia.com.eg//ar/modern-home-office-with-side-shelves-white-100-cm-21414624.html,4.1,52.44,53%,2000.0
8,Modern TV table,Modern Home,https://www.jumia.com.eg//ar/modern-home-modern-tv-table-804530cm-white-6905608.html,4.0,172.14,68%,2000.0
9,Side table with removable tray,Modern Home,https://www.jumia.com.eg//ar/generic-side-table-with-removable-tray-29439599.html,0.0,172.14,0%,900.0
10,Modern Zigzag TV Table,Modern Home,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-beige-120cm-32489889.html,0.0,172.14,18%,1099.0
11,Modern side table,Modern Home,https://www.jumia.com.eg//ar/generic-minttm-side-table-engineered-wood-40844537.html,0.0,172.14,41%,1600.0
12,Modern Home Modern Table -  80*45*30cm - Light Brown,Modern Home Modern Table            cm   Light Brown,https://www.jumia.com.eg//ar/modern-home-modern-table-804530cm-light-brown-7204534.html,4.6,172.14,28%,900.0
13,Contemporary table,Modern Home,https://www.jumia.com.eg//ar/modern-home-modern-table-804530cm-black-7204533.html,4.3,172.14,28%,900.0
14,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203040cm-39707114.html,0.0,172.14,68%,3000.0
15,Modern Zigzag TV Table,Modern Home,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-black-32489876.html,0.0,172.14,18%,1099.0
16,Modern TV and coffee table,Modern Home,https://www.jumia.com.eg//ar/modern-home-modern-tv-and-coffee-table-120-cm-white-19872544.html,4.3,172.14,53%,2000.0
17,Sarcomisr Manager Medical Office Chair - Black & White,Sarcomisr Manager Medical Office Chair   Black   White,https://www.jumia.com.eg//ar/sarcomisr-manager-medical-office-chair-black-white-19932697.html,3.9,52.44,16%,1600.0
18,Rattan Folding Table - Biege,Rattan Folding Table   Biege,https://www.jumia.com.eg//ar/rattan-folding-table-biege-27333720.html,4.8,52.44,43%,350.0
19,Modern Zigzag TV Table,Modern Home,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-brown-120cm-32489887.html,0.0,172.14,18%,1099.0
20,"A unit for books, decorations and accessories with multiple shelves ",Modern Home,https://www.jumia.com.eg//ar/unit-for-booksdecorations-and-accessories-with-multiple-shelves-black-modern-home-mpg842306.html,4.1,52.44,25%,1000.0
21,"Storage unit with shelves for books, decoration and accessories with cabinet _ white_",Modern Home                                                                 W,https://www.jumia.com.eg//ar/modern-home-storage-unit-with-shelves-for-books-decor-and-accessories-with-cabinetwhitew9-21229676.html,4.3,52.44,15%,2000.0
22,Medium coffee table,Modern Home,https://www.jumia.com.eg//ar/modern-home-coffe-table-3-pcs-brown-27112486.html,3.8,172.14,56%,1800.0
23,Bed side table with storage shelf,General,https://www.jumia.com.eg//ar/general-bedside-table-side-table-with-drawer-white-403055-cm-304-38827001.html,0.0,172.14,0%,1000.0
24,"Home Gallery TV unit made of natural wood, beige",Modern Home,https://www.jumia.com.eg//ar/generic-home-gallery-natural-wood-tv-unit-30x35x120-brown-40814393.html,0.0,172.14,17%,3948.0
25,Green black TV unit,Sarcomisr,https://www.jumia.com.eg//ar/sarcomisr-tv-unit-160x40x45-blackgreen-38653024.html,0.0,172.14,20%,2500.0
26,tv covers Protector,tv covers Protector,https://www.jumia.com.eg//ar/generic-tv-cover-protection-sleeve-fits-43inch-led-oled-lcd-black-22126215.html,0.0,327.91,29%,589.0
27,Modern TV table,Gad Woods,https://www.jumia.com.eg//ar/gad-woods-modern-tv-table-804530cm-white-27066253.html,0.0,172.14,50%,1300.0
28,Contemporary table,Modern Home,https://www.jumia.com.eg//ar/modern-table-804530cm-black-generic-mpg735232.html,4.3,172.14,50%,1400.0
29,One TV from the first Lajshra,Modern Home,https://www.jumia.com.eg//ar/generic-television-unit-luxury-gray-33188918.html,0.0,172.14,0%,5000.0
30,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1603045-cm-38827675.html,0.0,172.14,58%,3000.0
31,One TV from the first Lajshra,Modern Home,https://www.jumia.com.eg//ar/generic-television-unit-luxury-black-33188863.html,0.0,172.14,0%,5000.0
32,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38828128.html,0.0,172.14,70%,3000.0
33,tv covers Protector,tv covers Protector,https://www.jumia.com.eg//ar/generic-universal-indoor-flat-screen-cover-protector-for-43inch-tv-gray-gray-21917643.html,0.0,333.09,29%,609.0
34,tv covers Protector,tv covers Protector,https://www.jumia.com.eg//ar/generic-universal-49inch-flat-screen-dust-proof-protector-black-black-22060313.html,0.0,430.03,17%,836.0
35,tv covers Protector,tv covers Protector,https://www.jumia.com.eg//ar/generic-universal-55inch-flat-screen-dust-proof-protector-black-black-22060339.html,0.0,415.97,23%,857.0
36,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203040cm-38827663.html,0.0,172.14,68%,3000.0
37,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38827687.html,0.0,172.14,68%,3000.0
38,Written by CMTV Brown in White,Modern Home,https://www.jumia.com.eg//ar/generic-modern-wall-mount-t.v-unit-120120-brownwhite-26627440.html,0.0,172.14,13%,4500.0
39,Study desk with open drawer,Modern Home,https://www.jumia.com.eg//ar/generic-stady-desk-904575-white-32643567.html,0.0,172.14,33%,1199.0
40,Modern TV and coffee table,General,https://www.jumia.com.eg//ar/general-modern-tv-and-coffee-table-120-cm-white-38827658.html,0.0,172.14,29%,1200.0
41,Bed side table with storage shelf,Home Decor Center,https://www.jumia.com.eg//ar/home-decor-center-bedside-table-side-table-with-drawer-white-403055-cm-304-27151996.html,3.3,172.14,72%,2500.0
42,Bed side table with storage shelf,Modern Home,https://www.jumia.com.eg//ar/modern-home-bedside-table-side-table-with-storage-white-554040-27151979.html,0.0,172.14,54%,1200.0
43,Modern Zigzag TV Table,Modern Home,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-beige-120cm-32489890.html,0.0,172.14,18%,1099.0
44,Bedside table with storage shelf,Modern Home,https://www.jumia.com.eg//ar/modern-home-bedside-table-side-table-with-storage-black-554040-cm-305-27152038.html,0.0,172.14,58%,1200.0
45,Wall Mounted TV Unit with Cabinet TV Stand Unit with Shelves for Living Room (Brown with White),Modern Home,https://www.jumia.com.eg//ar/modern-home-wall-mounted-tv-unit-cabinet-with-tv-stand-unit-wall-shelf-for-living-room-brownwhite-37664677.html,5.0,52.44,54%,1400.0
46,Modern Home Modern Tv Table - Black Oak,Modern Home Modern Tv Table   Black Oak,https://www.jumia.com.eg//ar/modern-tv-table-black-oak-generic-mpg142410.html,4.3,172.14,58%,2000.0
47,Modern desk with side shelves,Modern Home,https://www.jumia.com.eg//ar/modern-home-office-with-side-shelves-white-100-cm-21414624.html,4.1,52.44,53%,2000.0
48,Modern TV table,Modern Home,https://www.jumia.com.eg//ar/modern-home-modern-tv-table-804530cm-white-6905608.html,4.0,172.14,68%,2000.0
49,Side table with removable tray,Modern Home,https://www.jumia.com.eg//ar/generic-side-table-with-removable-tray-29439599.html,0.0,172.14,0%,900.0
50,Modern Zigzag TV Table,Modern Home,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-beige-120cm-32489889.html,0.0,172.14,18%,1099.0
51,Modern side table,Modern Home,https://www.jumia.com.eg//ar/generic-minttm-side-table-engineered-wood-40844537.html,0.0,172.14,41%,1600.0
52,Modern Home Modern Table -  80*45*30cm - Light Brown,Modern Home Modern Table            cm   Light Brown,https://www.jumia.com.eg//ar/modern-home-modern-table-804530cm-light-brown-7204534.html,4.6,172.14,28%,900.0
53,Contemporary table,Modern Home,https://www.jumia.com.eg//ar/modern-home-modern-table-804530cm-black-7204533.html,4.3,172.14,28%,900.0
54,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203040cm-39707114.html,0.0,172.14,68%,3000.0
55,Modern Zigzag TV Table,Modern Home,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-black-32489876.html,0.0,172.14,18%,1099.0
56,Modern TV and coffee table,Modern Home,https://www.jumia.com.eg//ar/modern-home-modern-tv-and-coffee-table-120-cm-white-19872544.html,4.3,172.14,53%,2000.0
57,Sarcomisr Manager Medical Office Chair - Black & White,Sarcomisr Manager Medical Office Chair   Black   White,https://www.jumia.com.eg//ar/sarcomisr-manager-medical-office-chair-black-white-19932697.html,3.9,52.44,16%,1600.0
58,Rattan Folding Table - Biege,Rattan Folding Table   Biege,https://www.jumia.com.eg//ar/rattan-folding-table-biege-27333720.html,4.8,52.44,43%,350.0
59,Modern Zigzag TV Table,Modern Home,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-brown-120cm-32489887.html,0.0,172.14,18%,1099.0
60,"A unit for books, decorations and accessories with multiple shelves ",Modern Home,https://www.jumia.com.eg//ar/unit-for-booksdecorations-and-accessories-with-multiple-shelves-black-modern-home-mpg842306.html,4.1,52.44,25%,1000.0
61,"Storage unit with shelves for books, decoration and accessories with cabinet _ white_",Modern Home                                                                 W,https://www.jumia.com.eg//ar/modern-home-storage-unit-with-shelves-for-books-decor-and-accessories-with-cabinetwhitew9-21229676.html,4.3,52.44,15%,2000.0
62,Medium coffee table,Modern Home,https://www.jumia.com.eg//ar/modern-home-coffe-table-3-pcs-brown-27112486.html,3.8,172.14,56%,1800.0
63,Bed side table with storage shelf,General,https://www.jumia.com.eg//ar/general-bedside-table-side-table-with-drawer-white-403055-cm-304-38827001.html,0.0,172.14,0%,1000.0
64,"Home Gallery TV unit made of natural wood, beige",Modern Home,https://www.jumia.com.eg//ar/generic-home-gallery-natural-wood-tv-unit-30x35x120-brown-40814393.html,0.0,172.14,17%,3948.0
65,Green black TV unit,Sarcomisr,https://www.jumia.com.eg//ar/sarcomisr-tv-unit-160x40x45-blackgreen-38653024.html,0.0,172.14,20%,2500.0
66,tv covers Protector,tv covers Protector,https://www.jumia.com.eg//ar/generic-tv-cover-protection-sleeve-fits-43inch-led-oled-lcd-black-22126215.html,0.0,327.91,29%,589.0
67,Modern TV table,Gad Woods,https://www.jumia.com.eg//ar/gad-woods-modern-tv-table-804530cm-white-27066253.html,0.0,172.14,50%,1300.0
68,Contemporary table,Modern Home,https://www.jumia.com.eg//ar/modern-table-804530cm-black-generic-mpg735232.html,4.3,172.14,50%,1400.0
69,One TV from the first Lajshra,Modern Home,https://www.jumia.com.eg//ar/generic-television-unit-luxury-gray-33188918.html,0.0,172.14,0%,5000.0
70,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1603045-cm-38827675.html,0.0,172.14,58%,3000.0
71,One TV from the first Lajshra,Modern Home,https://www.jumia.com.eg//ar/generic-television-unit-luxury-black-33188863.html,0.0,172.14,0%,5000.0
72,cm TV table,Modern Home,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38828128.html,0.0,172.14,70%,3000.0
73,tv covers Protector,tv covers Protector,https://www.jumia.com.eg//ar/generic-universal-indoor-flat-screen-cover-protector-for-43inch-tv-gray-gray-21917643.html,0.0,333.09,29%,609.0
